"ID","Name","Strengths","Weaknesses","Favoured Troop","Tag"
0,"All Factions",,,,"All"
1,"Duchy of Normandy","Strong and well-round cavalry force.","Mediocre infantries.","Norman Conroi","European"
2,"Saxon England","Superb heavy infantries.","Lack cavalry and good ranged troop.","Saxon Huscarl","European"
3,"New Kingdom","Well-balanced army with the support from auxiliaries of variety.","Heavy armour is rarely used at all.","Egyptian War Chariot","Middle Eastern"
4,"Canaan Alliance","Strong chariot and numerous affordable infantries.","Undisciplined troops overall.","Canaanite Maryannu Warrior","Middle Eastern"
5,"Ottoman Empire (Not READY)","Unparalleled combination of old and new warfare in one army.","Few affordable heavily armoured troops.","Janissary Arquebusier","Anatolian"
6,"Kingdom of Hungary (Not READY)","Unmatched cavalries of both heavy and light.","Field only defensive infantries that require support.","Hungarian Banderium","European"
7,"Kingdom of Poland (Not READY)","Good combination of infantry and cavalry forces.",,"Polish Hussar","European"
8,"Papal State (Not READY)","Disciplined and devoted infantries.","Poor choices of cavalry come only from auxiliary sources.","Pontifical Swiss Guard","European"
9,"Holy Roman Empire (Not READY)","Strong and heavy army with no glaring weakness.","Not extremely strong in any specific compartment.","Landsknecht Doppelsöldner","European"
10,"Kingdom of Croatia (Not READY)","Distinctive irregular light troops.","No particularly powerful heavy troops for a frontal offensive.",,"European"
11,"Lands of the Bohemian Crown (Not READY)","Mobile and effective combination of infantry and artillery force.","Weak selection of cavalry force.","Czech War Wagon","European"
12,"Duchy of Brittany","Specialised in cavalry force and skirmish tactic.","No specialised infantry for melee combat.","Breton Knight","European"
13,"Kingdom of France","Great all-around infantries and cavalries.","No proper skirmishing cavalries and infantries.","Gendarme","European"
