"ID","Name","Race","Strength","Dexterity","Agility","Constitution","Intelligence","Wisdom","Charisma","Melee Speciality","Range Speciality","Cavalry Speciality","Social Class","Primary Main Weapon","Primary Sub Weapon","Secondary Main Weapon","Secondary Sub Weapon","Armour","Mount","Skill","Trait","Formation","Sprite ID"
1,"None",0,0,0,0,0,0,0,0,0,0,0,0,"1,3","1,3","1,3","1,3","1,1","1,0,1",0,0,,"None"
2,"William of Normandy",1,72,68,60,70,81,83,92,7,4,7,5,"7,5","1,3","1,3","1,3","5,5","2,4,1","L3,L61",0,"Line,Wedge","Norman"
3,"Alan the Red",1,70,64,58,68,75,80,70,6,6,6,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L21",0,"Line","Norman Red Beard"
4,"William FitzOsbern",1,65,52,63,71,68,71,72,7,7,7,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L1",0,"Line","Norman"
5,"Eustace II",1,67,58,61,69,70,75,75,7,3,8,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L28",0,"Line","Norman"
6,"William d'Evreux",1,64,59,54,65,75,73,60,6,5,4,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L19",0,"Line","Norman"
7,"Robert de Beaumont",1,60,55,57,52,60,57,70,7,5,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L28",0,"Line","Norman"
8,"Geoffrey II",1,41,43,46,59,70,76,53,5,3,6,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L18",0,"Line","Norman"
9,"Aimery IV of Thouars",1,56,54,58,47,51,48,68,6,4,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L21",0,"Line","Norman"
10,"Walter Giffard",1,81,76,68,72,68,67,77,7,5,7,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L29",0,"Line","Norman"
11,"Hugh de Montfort",1,60,58,48,55,60,58,71,4,2,6,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L19",0,"Line","Norman"
12,"Raoul II of Tosny",1,68,62,60,70,71,72,63,6,3,6,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L18",0,"Line","Norman"
13,"Hugh de Grandmesnil",1,69,67,64,75,61,55,74,6,4,4,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L16",0,"Line","Norman"
14,"William de Warenne",1,47,60,55,58,50,58,53,5,5,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L28",0,"Line","Norman"
15,"William Malet",1,53,51,46,47,71,65,51,6,5,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L19",0,"Line","Norman"
16,"Odo of Bayeux",1,66,62,59,60,76,71,80,5,5,5,4,"7,5","1,3","1,3","1,3","5,4","2,3,1","L6",0,"Line","Norman"
17,"Turstin FitzRolf",1,54,57,49,55,57,54,52,4,3,5,3,"2,4","1,3","1,3","1,3","5,4","2,3,1","L17",0,"Line","Norman"
18,"Geoffrey de Montbray",1,69,65,64,68,42,41,67,6,5,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L6",0,"Line","Norman"
19,"Robert of Mortain",1,62,54,61,62,63,47,78,5,5,5,4,"2,4","1,3","1,3","1,3","5,4","2,3,1","L3",0,"Line","Norman"
20,"Wadard",1,58,60,63,59,61,58,54,4,3,5,3,"6,4","39,4","1,3","1,3","5,4","2,3,1","L21",0,"Line","Norman"
21,"Vital",1,55,62,58,52,63,57,47,5,4,6,3,"6,4","39,4","1,3","1,3","5,4","2,3,1","L33",0,"Line","Norman"
22,"Gilbert d'Auffay",1,61,45,54,60,47,52,55,4,4,4,4,"6,4","1,3","1,3","1,3","5,4","2,3,1","L47",0,"Line","Norman"
23,"Humphrey I",1,59,64,58,53,68,64,60,6,5,6,4,"6,4","1,3","1,3","1,3","5,4","2,3,1","L19",0,"Line","Norman Brown Beard"
24,"Engenulf of Laigle",1,40,57,36,35,46,49,45,3,3,4,4,"6,4","1,3","1,3","1,3","5,4","2,3,1","L21",0,"Line","Norman"
25,"Richard fitz Gilbert",1,47,42,45,60,56,48,40,4,2,4,4,"6,4","1,3","1,3","1,3","5,4","2,3,1","L17",0,"Line","Norman"
26,"Harold Godwinson",1,77,68,70,73,78,80,85,8,2,6,7,"6,4","1,3","1,3","1,3","5,5","1,0,1","L26,L49",0,"Line,Square","Saxon"
